frame,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,
43,-68.8609,-105.266,26.3,99.6168,122.641,-10.9749,4.1042,6.9987,122.641,-20.9346,74.6369,-39.0775,82.0655,83.2198,-12.5868,-4.4494,-4.8714,83.2198,
44,-69.381,-104.92,26.2335,12.2161,4.41557,-11.4767,4.8372,7.0132,4.41557,-21.7529,71.3764,-37.0227,12.2161,4.41557,-12.5931,-4.6096,-4.8493,4.41557,
45,-68.9597,-105.978,26.6243,12.2161,4.41557,-12.5773,6.7892,7.0269,4.41557,-23.5099,68.4951,-34.7358,12.2161,4.41557,-12.4396,-4.8347,-4.8354,4.41557,
46,-68.3232,-107.35,27.197,12.2161,4.41557,-13.7165,8.6192,7.0265,4.41557,-25.5038,66.668,-34.6102,12.2161,4.41557,-11.4015,-4.7314,-4.8319,4.41557,
47,-67.7048,-106.425,26.5882,7.95038,13.0858,-14.3261,8.5551,7.0673,13.0858,-27.0041,64.9301,-35.7828,1.06257,8.37811,-9.6756,-4.4166,-4.8268,8.37811,
48,-67.6497,-103.497,23.9577,39.2431,52.0816,-14.3356,6.2142,7.1792,52.0816,-27.8427,63.3109,-35.5312,32.6911,34.0508,-8.313,-4.1213,-4.7881,34.0508,
49,-67.791,-100.413,20.671,72.7953,83.9434,-14.2229,4.2543,7.2731,83.9434,-27.5658,62.6803,-34.0252,65.8568,59.3006,-7.2256,-3.7907,-4.7379,59.3006,
50,-67.3442,-98.2876,18.5217,84.9345,87.2185,-14.293,4.8972,7.2806,87.2185,-26.549,62.8006,-33.2873,74.7578,70.4803,-6.3768,-3.4342,-4.7255,70.4803,
51,-66.5503,-97.8461,18.2784,82.0984,85.1875,-14.2597,7.0148,7.2251,85.1875,-26.6923,62.5768,-33.9155,71.1497,71.6471,-6.1165,-3.2062,-4.7281,71.6471,
52,-65.7077,-98.4486,18.8905,78.7945,82.1476,-14.0521,8.9766,7.1603,82.1476,-27.7043,62.4602,-34.9143,68.2381,69.3959,-6.164,-3.141,-4.7319,69.3959,
53,-65.4403,-98.6803,19.0532,78.2582,78.54,-13.9046,9.8487,7.1442,78.54,-27.7618,63.0607,-35.608,66.1346,70.3308,-6.2584,-3.162,-4.7293,70.3308,
54,-66.3261,-98.8303,19.0884,76.8317,79.3712,-13.8427,9.7039,7.203,79.3712,-27.1996,63.6382,-36.1411,62.0312,72.5679,-6.3056,-3.1572,-4.6836,72.5679,
55,-67.5193,-99.7054,19.0744,75.1817,79.5755,-13.8366,9.3143,7.2375,79.5755,-26.8825,63.9097,-36.3304,56.6133,71.9996,-6.3103,-3.1163,-4.5992,71.9996,
56,-68.2772,-101.174,19.4294,74.4443,78.5197,-13.9419,9.1405,7.1599,78.5197,-27.0123,63.8188,-36.3346,51.4204,71.1887,-6.2998,-3.1063,-4.5315,71.1887,
57,-68.3215,-102.522,20.773,73.0015,79.4812,-14.0793,9.3573,7.0778,79.4812,-27.6033,63.2997,-36.3438,47.7245,69.94,-6.316,-3.1812,-4.5508,69.94,
