frame,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,
47,-22.7787,-53.278,9.0681,99.4742,56.3945,-12.77,3.1278,3.387,56.3945,-41.2265,71.2553,-39.6088,43.5329,98.8698,-6.0027,-3.6898,-3.3178,98.8698,
48,-23.3018,-52.3846,9.6635,101.175,55.947,-11.5137,3.1277,3.5987,55.947,-41.7735,73.1249,-41.5523,41.7646,102.067,-6.0837,-3.6982,-3.3404,102.067,
49,-22.7101,-51.0894,9.2448,102.867,54.3563,-7.6434,3.1276,3.745,54.3563,-42.2235,73.9715,-42.1437,41.0817,103.414,-6.0314,-3.6503,-3.3515,103.414,
50,-21.8084,-50.6988,8.1094,103.272,53.2198,-4.111,3.1275,3.7447,53.2198,-41.4633,73.8013,-41.6071,40.7415,102.505,-5.9601,-3.6066,-3.346,102.505,
51,-21.2243,-51.2499,7.3067,102.994,53.2526,-3.597,3.1275,3.6594,53.2526,-41.2015,74.6732,-42.5222,40.0963,103.702,-5.9565,-3.6019,-3.3312,103.702,
52,-19.8463,-50.9943,6.0097,103.605,52.1642,-5.622,3.1275,3.5466,52.1642,-41.2149,76.8228,-44.7831,39.1268,106.938,-5.9949,-3.617,-3.3149,106.938,
53,-18.0543,-49.4093,4.2451,104.45,49.5813,-7.7486,3.1275,3.4636,49.5813,-40.3993,78.6236,-46.5129,38.9508,108.961,-6.0274,-3.6287,-3.3041,108.961,
54,-17.1073,-48.2795,3.0205,104.642,47.8579,-8.5808,3.1275,3.438,47.8579,-39.1177,79.8303,-47.2691,39.6369,109.543,-6.0391,-3.6323,-3.3012,109.543,
55,-16.9117,-47.7372,2.2401,104.735,47.0002,-8.5857,3.1275,3.4421,47.0002,-38.1367,81.151,-47.4949,40.2904,110.039,-6.0386,-3.6317,-3.302,110.039,
56,-16.8884,-46.6845,1.3613,105.193,45.6248,-8.3886,3.1275,3.4508,45.6248,-37.4412,82.4059,-47.4531,40.4104,110.497,-6.0355,-3.6305,-3.3032,110.497,
57,-16.845,-45.6424,0.4061,105.533,44.2383,-8.2652,3.1275,3.4552,44.2383,-36.7669,83.3656,-47.3729,40.3917,110.718,-6.0336,-3.6299,-3.3037,110.718,
